PLAYER,TYPE,PRICE PAID,TEAM,Year,,,,
Joel Paris,Bowler,"₹30,00,000",Delhi Daredevils,2016,,,,
Sam Billings,Wicket Keeper,"₹30,00,000",Delhi Daredevils,2016,,,,
Chama Milind,Bowler,"₹10,00,000",Delhi Daredevils,2016,,,,
Pratyush Singh,All-Rounder,"₹10,00,000",Delhi Daredevils,2016,,,,
Mahipal Lomror,All-Rounder,"₹10,00,000",Delhi Daredevils,2016,,,,
Syed Khaleel Ahmed,All-Rounder,"₹10,00,000",Delhi Daredevils,2016,,,,
Akhil Arvind Herwadkar,All-Rounder,"₹10,00,000",Delhi Daredevils,2016,,,,
Pawan Suyal,Bowler,"₹10,00,000",Delhi Daredevils,2016,,,,
Praveen Kumar,Bowler,"₹3,50,00,000",Gujarat Lions,2016,,,,
Dale Steyn,Bowler,"₹2,30,00,000",Gujarat Lions,2016,,,,
Dinesh Karthik,Wicket Keeper,"₹2,30,00,000",Gujarat Lions,2016,,,,
Dwayne Smith,All-Rounder,"₹2,30,00,000",Gujarat Lions,2016,,,,
Dhawal Kulkarni,Bowler,"₹2,00,00,000",Gujarat Lions,2016,,,,
Aaron Finch,Batsman,"₹1,00,00,000",Gujarat Lions,2016,,,,
Eklavya Dwivedi,Wicket Keeper,"₹1,00,00,000",Gujarat Lions,2016,,,,
Andrew Tye,All-Rounder,"₹50,00,000",Gujarat Lions,2016,,,,
Ishan Kishan,Wicket Keeper,"₹35,00,000",Gujarat Lions,2016,,,,
Jaydev Shah,All-Rounder,"₹20,00,000",Gujarat Lions,2016,,,,
Shadab Jakati,All-Rounder,"₹20,00,000",Gujarat Lions,2016,,,,
Pravin Tambe,Bowler,"₹20,00,000",Gujarat Lions,2016,,,,
Pradeep Sangwan,All-Rounder,"₹20,00,000",Gujarat Lions,2016,,,,
Amit Mishra,Bowler,"₹10,00,000",Gujarat Lions,2016,,,,
Shivil Kaushik,Bowler,"₹10,00,000",Gujarat Lions,2016,,,,
Akshdeep Nath,All-Rounder,"₹10,00,000",Gujarat Lions,2016,,,,
